#Year	DOY	hour	Btot	Br	Bt	Bn	Np	Vtot	Tp
2021	269	16	14.4	5.4	-3.4	-12.2	Nan	Nan	Nan
2021	269	17	14.7	8.0	-5.2	-9.6	Nan	Nan	Nan
2021	269	18	27.6	8.6	-21.8	-14.1	Nan	Nan	Nan
2021	269	19	28.9	20.6	-12.2	8.6	Nan	Nan	Nan
2021	269	20	33.7	25.8	-15.2	11.2	Nan	Nan	Nan
2021	269	21	33.5	29.3	-14.9	4.4	Nan	Nan	Nan
2021	269	22	34.8	26.8	-19.8	8.8	Nan	Nan	Nan
2021	269	23	27.7	21.8	-14.1	8.8	Nan	Nan	Nan
2021	270	0	21.6	18.6	-8.3	7.0	Nan	Nan	Nan
2021	270	1	30.6	25.5	-12.0	11.4	Nan	Nan	Nan
2021	270	2	35.2	24.2	-22.5	9.7	Nan	Nan	Nan
2021	270	3	31.6	25.3	-14.5	9.4	Nan	Nan	Nan
2021	270	4	33.8	21.2	-24.4	7.1	Nan	Nan	Nan
2021	270	5	29.9	22.3	-13.4	10.2	Nan	Nan	Nan
2021	270	6	32.6	20.2	-22.9	11.2	Nan	Nan	Nan
2021	270	7	29.0	18.4	-17.7	11.1	Nan	Nan	Nan
2021	270	8	23.4	17.6	6.9	11.8	Nan	Nan	Nan
2021	270	9	19.3	18.0	-0.9	-4.3	Nan	Nan	Nan
2021	270	10	14.1	13.4	-3.0	-1.4	Nan	Nan	Nan
2021	270	11	18.8	16.1	1.2	-4.3	Nan	Nan	Nan
2021	270	12	20.1	16.7	4.4	-6.4	Nan	Nan	Nan
2021	270	13	16.7	15.3	0.3	-2.5	Nan	Nan	Nan
2021	270	14	15.1	11.8	1.0	-1.0	Nan	Nan	Nan
2021	270	15	13.1	6.7	-1.0	-7.0	Nan	Nan	Nan
2021	270	16	17.6	16.3	0.9	-4.0	Nan	Nan	Nan
2021	270	17	18.5	13.1	1.9	-11.4	Nan	Nan	Nan
2021	270	18	16.9	14.1	-0.8	-8.1	Nan	Nan	Nan
2021	270	19	17.2	16.5	1.9	-0.3	Nan	Nan	Nan
2021	270	20	17.4	15.8	2.6	0.5	Nan	Nan	Nan
2021	270	21	16.1	15.0	0.3	-3.3	Nan	Nan	Nan
2021	270	22	17.2	15.6	1.1	-5.6	Nan	Nan	Nan
2021	270	23	18.9	17.3	4.4	-5.3	Nan	Nan	Nan
2021	271	0	16.5	16.1	1.8	-2.4	Nan	Nan	Nan
2021	271	1	15.9	10.3	1.5	-9.6	Nan	Nan	Nan
2021	271	2	16.2	5.7	2.4	-14.3	Nan	Nan	Nan
2021	271	3	22.1	16.5	9.1	-10.3	Nan	Nan	Nan
2021	271	4	20.1	15.7	11.1	-4.1	Nan	Nan	Nan
2021	271	5	18.2	14.3	10.4	-1.4	Nan	Nan	Nan
2021	271	6	16.2	14.0	7.3	0.6	Nan	Nan	Nan
2021	271	7	17.1	16.0	1.4	-4.7	Nan	Nan	Nan
2021	271	8	18.6	17.3	-3.7	-4.9	Nan	Nan	Nan
2021	271	9	18.2	17.3	-5.2	0.6	Nan	Nan	Nan
2021	271	10	19.5	18.5	-5.1	2.8	Nan	Nan	Nan
2021	271	11	18.8	17.6	-6.0	1.8	Nan	Nan	Nan
2021	271	12	19.7	17.9	-7.5	2.7	Nan	Nan	Nan
2021	271	13	19.8	17.4	-8.0	4.2	Nan	Nan	Nan
2021	271	14	19.7	16.0	-10.0	5.6	Nan	Nan	Nan
2021	271	15	19.2	14.6	-11.9	3.8	Nan	Nan	Nan
2021	271	16	16.8	12.6	-10.8	1.8	Nan	Nan	Nan
