#Year DOY hour Btot Br Bt Bn Np Vtot Tp
2022 030 22 10.6 -4.4 5.8 -2.8 15.6 559 624339
2022 030 23 10.4 -6.6 1.2 1.8 13.7 547 406331
2022 031 0 11.2 -5.2 4.2 4.7 18.2 542 801630
2022 031 1 11.3 -1.5 8.5 -5.0 24.3 549 -9999
2022 031 2 10.9 -4.6 6.2 -5.3 45.2 545 -9999
2022 031 3 10.3 -1.9 7.8 0.7 23.2 557 -9999
2022 031 4 9.6 -3.4 7.1 0.9 46.6 555 -9999
2022 031 5 8.8 -1.2 5.8 2.8 -9999 563 -9999
2022 031 6 8.4 -4.0 4.3 1.5 -9999 598 -9999
2022 031 7 9.1 -5.3 4.0 0.4 -9999 558 -9999
2022 031 8 10.9 -7.7 6.4 2.3 -9999 526 -9999
2022 031 9 10.8 -5.3 -4.9 2.6 39.2 544 -9999
2022 031 10 11.6 -8.7 -3.2 2.8 47.9 531 -9999
2022 031 11 12.0 -7.2 2.2 4.9 18.0 535 706060
2022 031 12 12.1 -9.7 -3.8 -1.1 17.8 528 546838
2022 031 13 12.3 -10.5 -0.6 1.3 -9999 596 178988
2022 031 14 11.4 -6.5 3.6 5.2 -9999 700 -9999
2022 031 15 11.4 -8.4 5.0 3.1 -9999 -9999 -9999
2022 031 16 11.2 -7.7 4.7 -5.0 -9999 -9999 -9999
2022 031 17 11.7 -5.4 8.7 1.8 -9999 -9999 -9999
2022 031 18 11.8 -8.3 6.5 2.5 -9999 659 -9999
2022 031 19 11.7 -7.8 6.4 3.0 -9999 -9999 -9999
2022 031 20 11.8 -7.6 7.4 0.9 -9999 -9999 -9999
2022 031 21 11.5 -7.8 5.1 0.6 -9999 -9999 -9999
2022 031 22 11.2 -9.8 4.1 -0.6 -9999 677 -9999
2022 031 23 10.7 -7.5 6.3 0.2 -9999 663 -9999
