0.11 408.402 354.39099999999996 179.81400000000002 -22.2967 428134.9342628683
0.12 339.664 357.841 150.966 -19.9205 390731.2540880482
0.13 285.60400000000004 360.764 127.99 -18.1044 358126.5248353026
0.14 242.00099999999998 363.225 109.20100000000001 -16.6228 330188.4170204123
0.15 207.988 365.283 94.3746 -15.3188 305595.8770833267
0.16 181.261 367.006 82.6538 -14.7403 285506.06450773595
0.17 159.985 368.462 73.2312 -13.709 268489.1351679182
0.18 142.69 369.72900000000004 65.5321 -12.8165 253783.23729897884
0.19 128.254 370.87 59.082 -12.0429 240806.51805222506
0.2 115.696 371.911 53.4507 -11.3508 228678.64341788678
0.21 104.70700000000001 372.86 48.4979 -10.7244 217493.25350793256
0.22 95.1599 373.724 44.1809 -10.4375 207319.2844901043
0.23 86.8544 374.5 40.4084 -9.9051 198105.49966608416
0.24 79.5672 375.211 37.0878 -9.4239 189642.945230904
0.25 73.1514 375.86199999999997 34.156 -8.98752 181854.056831491
0.26 67.4819 376.462 31.5586 -8.59038 174679.7485531551
0.27 62.4474 377.01599999999996 29.2468 -8.22797 168041.65091482014
0.28 57.9659 377.527 27.1858 -8.058069999999999 161911.95216363535
0.29 53.9616 378.0 25.3394 -7.739339999999999 156246.80550361265
0.3 50.3552 378.441 23.6734 -7.445410000000001 150953.2860588396
0.31 47.0975 378.852 22.1662 -7.17322 145999.78968239142
0.32 44.1466 379.23800000000006 20.7985 -6.9212 141357.79184627632
0.33 41.4654 379.599 19.5539 -6.68685 136999.60505355618
0.34 39.0274 379.93699999999995 18.4211 -6.57574 132917.50231969662
0.35 36.8014 380.25300000000004 17.3849 -6.36459 129083.36976061741
0.36 34.7596 380.55199999999996 16.4332 -6.16668 125458.65493963183
0.37 32.8818 380.834 15.5568 -5.98076 122026.621367618
0.38 31.1507 381.102 14.7479 -5.80564 118771.62537084761
0.39 29.5509 381.356 13.9996 -5.64029 115680.604750721
0.4 28.0736 381.597 13.3083 -5.56102 112757.62255939403
0.41 26.7036 381.82599999999996 12.6666 -5.40878 109978.53331023276
0.42 25.4294 382.046 12.0693 -5.26438 107327.8415056029
0.43 24.2427 382.25800000000004 11.5124 -5.12721 104795.40201955965
0.44 23.1355 382.461 10.9926 -4.9966800000000005 102375.26238804005
0.45 22.101 382.657 10.5064 -4.872330000000001 100059.60290547223
0.46 21.136 382.845 10.0527 -4.81234 97854.49843020532
0.47 20.2316 383.026 9.627130000000001 -4.69649 95740.73620093851
0.48 19.3826 383.202 9.2274 -4.585780000000001 93711.05040666179
0.49 18.5846 383.374 8.85149 -4.4798599999999995 91761.10946400254
0.5 17.8334 383.541 8.49752 -4.37841 89886.71930344662
0.51 17.1258 383.705 8.16399 -4.32925 88083.97153818353
0.52 16.4598 383.866 7.8499 -4.23391 86357.44146217027
0.53 15.8305 384.026 7.552969999999999 -4.14226 84692.52452117899
0.54 15.2349 384.184 7.271889999999999 -4.05398 83085.7896256142
0.55 14.6706 384.343 7.005489999999999 -3.96876 81532.6938742638
0.56 14.1354 384.376 6.85732 -3.9556 80030.66572278968
0.57 13.6276 384.461 6.61759 -3.9178699999999997 78578.57203278659
0.58 13.1458 384.543 6.39076 -3.8445 77175.80663326306
0.59 12.6871 384.62300000000005 6.17553 -3.77376 75814.55328130194
0.6 12.2499 384.699 5.97112 -3.7056199999999997 74490.89035073506
0.61 11.8323 384.774 5.7768 -3.64004 73203.46984398413
0.62 11.4329 384.846 5.5919099999999995 -3.57681 71951.42259449708
0.63 11.0502 384.915 5.41606 -3.5460300000000005 70738.64145369371
0.64 10.6828 384.983 5.24859 -3.4861199999999997 69564.48864061151
0.65 10.3285 385.048 5.0888 -3.4283699999999997 68427.2137234382
0.66 9.98559 385.11199999999997 4.93622 -3.37259 67325.42248001591
0.67 9.65236 385.17400000000004 4.7904 -3.3186400000000003 66260.60131962346
0.68 9.326039999999999 385.235 4.6509599999999995 -3.26651 65271.51976569263
0.69 9.003060000000001 385.29400000000004 4.51773 -3.2411 64393.245543299585
0.7 8.680760000000001 385.352 4.39025 -3.1915299999999998 63625.36577507898
0.71 8.91522 385.407 4.26811 -3.1435400000000002 63563.542707741646
0.72 8.66948 385.461 4.15104 -3.09707 62681.70796125226
0.73 8.43383 385.51300000000003 4.03876 -3.0520400000000003 61824.49527020162
0.74 8.20773 385.56300000000005 3.9310300000000002 -3.00831 60990.61004306976
0.75 7.99103 385.611 3.82776 -2.98692 60181.43850648797
0.76 7.78295 385.657 3.7285800000000004 -2.9451099999999997 59394.06330319
0.77 7.583019999999999 385.70099999999996 3.63325 -2.90457 58626.95061497218
0.78 7.39082 385.744 3.54156 -2.86527 57879.1437459927
0.79 7.20592 385.785 3.4533400000000003 -2.82713 57150.56639129276
0.8 7.027939999999999 385.825 3.36841 -2.7900400000000003 56440.225873591204
0.81 6.85685 385.86400000000003 3.2867699999999997 -2.7718700000000003 55750.035482240804
0.82 6.692 385.901 3.2080900000000003 -2.73631 55077.11685266552
0.83 6.5330900000000005 385.93800000000005 3.13223 -2.70175 54420.10925052805
0.84 6.37984 385.974 3.05907 -2.66811 53779.28821322059
0.85 6.2320400000000005 386.00800000000004 2.98849 -2.6353299999999997 53153.573922017444
0.86 6.0895 386.043 2.9203900000000003 -2.6192599999999997 52543.22280484801
0.87 5.95216 386.07599999999996 2.85475 -2.58777 51949.533395076
0.88 5.81959 386.108 2.79137 -2.55707 51369.364835571585
0.89 5.69157 386.139 2.73014 -2.5270599999999996 50802.88480874958
0.9 5.56785 386.16900000000004 2.67098 -2.49778 50248.95878552
